L1Bit,L1SeedName,pre-scale0,rate0,error_rate0,pure0,propotional0,Type,PAG,Comment
102,L1_Mu7_LooseIsoEG23er2p5,1,307.107,92.5963,0,30.5039,,,
104,L1_Mu6_DoubleEG10er2p5,0,0,0,0,0,,,
105,L1_Mu6_DoubleEG12er2p5,1,251.269,83.7565,139.594,174.16,,,
106,L1_Mu6_DoubleEG15er2p5,1,83.7565,48.3568,0,32.572,,,
107,L1_Mu6_DoubleEG17er2p5,1,0,0,0,0,,,
109,L1_DoubleMu4_SQ_EG9er2p5,0,0,0,0,0,,,
110,L1_DoubleMu5_SQ_EG9er2p5,1,446.701,111.675,167.513,228.207,,,
112,L1_DoubleMu3_OS_DoubleEG7p5Upsilon,1,27.9188,27.9188,0,3.9884,,,
113,L1_DoubleMu5Upsilon_OS_DoubleEG3,1,139.594,62.4284,0,28.9795,,,
119,L1_Mu3_Jet30er2p5,11000,0,0,0,0,,,
121,L1_Mu3_Jet16er2p5_dR_Max0p4,400,111.675,55.8377,111.675,111.675,,,
122,L1_Mu3_Jet35er2p5_dR_Max0p4,256,27.9188,27.9188,27.9188,27.9188,,,
123,L1_Mu3_Jet60er2p5_dR_Max0p4,52,27.9188,27.9188,27.9188,27.9188,,,
124,L1_Mu3_Jet80er2p5_dR_Max0p4,13,55.8377,39.4832,27.9188,31.0209,,,
125,L1_Mu3_Jet120er2p5_dR_Max0p8,3,55.8377,39.4832,0,5.2497,,,
126,L1_Mu3_Jet120er2p5_dR_Max0p4,3,55.8377,39.4832,27.9188,28.3066,,,
128,L1_Mu3er1p5_Jet100er2p5_ETMHF40,1,558.377,124.857,111.675,250.151,,,
129,L1_Mu3er1p5_Jet100er2p5_ETMHF50,1,418.782,108.129,0,134.487,,,
131,L1_Mu6_HTT240er,1,335.026,96.7137,0,28.474,,,
132,L1_Mu6_HTT250er,1,307.107,92.5963,0,26.3264,,,
134,L1_Mu10er2p3_Jet32er2p3_dR_Max0p4_DoubleJet32er2p3_dEta_Max1p6,0,0,0,0,0,,,
135,L1_Mu12er2p3_Jet40er2p3_dR_Max0p4_DoubleJet40er2p3_dEta_Max1p6,1,586.295,127.94,0,151.76,,,
136,L1_Mu12er2p3_Jet40er2p1_dR_Max0p4_DoubleJet40er2p1_dEta_Max1p6,1,558.377,124.857,0,147.772,,,
142,L1_DoubleMu0_dR_Max1p6_Jet90er2p5_dR_Max0p8,1,27.9188,27.9188,0,1.26904,,,
143,L1_DoubleMu3_dR_Max1p6_Jet90er2p5_dR_Max0p8,1,27.9188,27.9188,0,1.26904,,,
145,L1_DoubleMu3_SQ_ETMHF50_HTT60er,0,0,0,0,0,,,
146,L1_DoubleMu3_SQ_ETMHF50_Jet60er2p5_OR_DoubleJet40er2p5,1,111.675,55.8377,0,20.3852,,,
147,L1_DoubleMu3_SQ_ETMHF50_Jet60er2p5,1,83.7565,48.3568,0,16.3968,,,
148,L1_DoubleMu3_SQ_ETMHF60_Jet60er2p5,1,83.7565,48.3568,0,16.3968,,,
150,L1_DoubleMu3_SQ_HTT220er,1,83.7565,48.3568,0,5.24359,,,
151,L1_DoubleMu3_SQ_HTT240er,1,55.8377,39.4832,0,2.1415,,,
152,L1_DoubleMu3_SQ_HTT260er,1,55.8377,39.4832,0,2.1415,,,
159,L1_SingleEG8er2p5,44000,27.9188,27.9188,27.9188,27.9188,,,
160,L1_SingleEG10er2p5,7600,167.513,68.3869,167.513,167.513,,,
161,L1_SingleEG15er2p5,1350,195.432,73.8663,139.594,141.584,,,
162,L1_SingleEG26er2p5,780,27.9188,27.9188,0,1.39594,,,
163,L1_SingleEG28_FWD2p5,45,0,0,0,0,,,
164,L1_SingleEG28er2p5,0,0,0,0,0,,,
165,L1_SingleEG28er2p1,0,0,0,0,0,,,
166,L1_SingleEG28er1p5,0,0,0,0,0,,,
167,L1_SingleEG34er2p5,0,0,0,0,0,,,
168,L1_SingleEG36er2p5,1,8180.22,477.893,502.539,1229.23,,,
169,L1_SingleEG38er2p5,1,6449.25,424.33,0,591.014,,,
170,L1_SingleEG40er2p5,1,5388.33,387.861,0,326.177,,,
171,L1_SingleEG42er2p5,1,4634.53,359.709,0,253.403,,,
172,L1_SingleEG45er2p5,1,3461.94,310.891,0,142.448,,,
173,L1_SingleEG50,0,0,0,0,0,,,
174,L1_SingleEG60,1,1898.48,230.225,0,63.2562,,,
175,L1_SingleLooseIsoEG26er2p5,0,0,0,0,0,,,
176,L1_SingleLooseIsoEG26er1p5,0,0,0,0,0,,,
177,L1_SingleLooseIsoEG28_FWD2p5,0,0,0,0,0,,,
178,L1_SingleLooseIsoEG28er2p5,1,14657.4,639.701,335.026,2499.7,,,
179,L1_SingleLooseIsoEG28er2p1,1,11027.9,554.876,0,1206.52,,,
180,L1_SingleLooseIsoEG28er1p5,0,0,0,0,0,,,
181,L1_SingleLooseIsoEG30er2p5,1,11335,562.549,0,1218.07,,,
182,L1_SingleLooseIsoEG30er1p5,0,0,0,0,0,,,
183,L1_SingleIsoEG24er2p1,0,0,0,0,0,,,
184,L1_SingleIsoEG24er1p5,0,0,0,0,0,,,
185,L1_SingleIsoEG26er2p5,0,0,0,0,0,,,
186,L1_SingleIsoEG26er2p1,0,0,0,0,0,,,
187,L1_SingleIsoEG26er1p5,0,0,0,0,0,,,
188,L1_SingleIsoEG28_FWD2p5,0,0,0,0,0,,,
189,L1_SingleIsoEG28er2p5,1,11977.2,578.264,0,1372.34,,,
190,L1_SingleIsoEG28er2p1,1,9408.65,512.522,0,739.44,,,
191,L1_SingleIsoEG28er1p5,1,6309.66,419.712,0,434.491,,,
192,L1_SingleIsoEG30er2p5,1,9715.75,520.819,0,700.711,,,
193,L1_SingleIsoEG30er2p1,1,8012.71,472.975,0,470.244,,,
194,L1_SingleIsoEG32er2p5,1,8375.65,483.568,0,497.418,,,
195,L1_SingleIsoEG32er2p1,1,7091.38,444.953,0,367.77,,,
196,L1_SingleIsoEG34er2p5,1,7286.82,451.043,0,408.296,,,
197,L1_IsoEG32er2p5_Mt40,1,6951.79,440.552,0,390.88,,,
198,L1_IsoEG32er2p5_Mt44,1,6644.68,430.711,0,363.485,,,
199,L1_IsoEG32er2p5_Mt48,1,6337.58,420.64,0,346.526,,,
205,L1_DoubleEG_15_10_er2p5,0,0,0,0,0,,,
206,L1_DoubleEG_20_10_er2p5,0,0,0,0,0,,,
207,L1_DoubleEG_22_10_er2p5,0,0,0,0,0,,,
208,L1_DoubleEG_25_12_er2p5,1,2736.05,276.382,390.864,754.539,,,
209,L1_DoubleEG_25_14_er2p5,1,1926.4,231.911,0,291.224,,,
210,L1_DoubleEG_27_14_er2p5,1,1535.54,207.052,0,188.937,,,
212,L1_DoubleEG_LooseIso20_10_er2p5,0,0,0,0,0,,,
213,L1_DoubleEG_LooseIso22_10_er2p5,0,0,0,0,0,,,
214,L1_DoubleEG_LooseIso22_12_er2p5,1,2373.1,257.399,502.539,715.386,,,
215,L1_DoubleEG_LooseIso25_12_er2p5,1,1786.81,223.351,0,182.601,,,
217,L1_DoubleLooseIsoEG22er2p1,1,223.351,78.9664,0,18.0976,,,
218,L1_DoubleLooseIsoEG24er2p1,1,167.513,68.3869,0,7.62802,,,
224,L1_TripleEG_16_12_8_er2p5,0,0,0,0,0,,,
225,L1_TripleEG_16_15_8_er2p5,0,0,0,0,0,,,
226,L1_TripleEG_18_17_8_er2p5,1,418.782,108.129,111.675,152.444,,,
227,L1_TripleEG_18_18_12_er2p5,1,111.675,55.8377,0,18.7787,,,
228,L1_TripleEG16er2p5,1,55.8377,39.4832,0,3.88869,,,
234,L1_LooseIsoEG26er2p1_Jet34er2p5_dR_Min0p3,0,0,0,0,0,,,
235,L1_LooseIsoEG28er2p1_Jet34er2p5_dR_Min0p3,1,4774.12,365.086,0,326.716,,,
236,L1_LooseIsoEG30er2p1_Jet34er2p5_dR_Min0p3,1,3992.39,333.861,0,211.562,,,
238,L1_LooseIsoEG24er2p1_HTT100er,0,0,0,0,0,,,
239,L1_LooseIsoEG26er2p1_HTT100er,1,5360.42,386.855,195.432,502.484,,,
240,L1_LooseIsoEG28er2p1_HTT100er,1,4941.63,371.436,0,269.443,,,
241,L1_LooseIsoEG30er2p1_HTT100er,1,4467.01,353.148,0,204.499,,,
247,L1_DoubleEG8er2p5_HTT260er,0,0,0,0,0,,,
248,L1_DoubleEG8er2p5_HTT280er,0,0,0,0,0,,,
249,L1_DoubleEG8er2p5_HTT300er,1,586.295,127.94,55.8377,80.7998,,,
250,L1_DoubleEG8er2p5_HTT320er,1,502.539,118.45,0,24.1161,,,
251,L1_DoubleEG8er2p5_HTT340er,1,390.864,104.463,0,11.4713,,,
257,L1_LooseIsoEG22er2p1_IsoTau26er2p1_dR_Min0p3,1,1954.32,233.586,139.594,373.993,,,
258,L1_LooseIsoEG24er2p1_IsoTau27er2p1_dR_Min0p3,1,1647.21,214.449,0,185.72,,,
259,L1_LooseIsoEG22er2p1_Tau70er2p1_dR_Min0p3,1,390.864,104.463,0,11.0053,,,
264,L1_SingleTau120er2p1,1,1284.27,189.355,0,68.7421,,,
265,L1_SingleTau130er2p1,1,1116.75,176.574,0,39.6506,,,
267,L1_DoubleTau70er2p1,1,1005.08,167.513,0,101.059,,,
269,L1_DoubleIsoTau28er2p1,0,0,0,0,0,,,
270,L1_DoubleIsoTau30er2p1,0,0,0,0,0,,,
271,L1_DoubleIsoTau32er2p1,1,6086.31,412.217,642.133,2029.41,,,
272,L1_DoubleIsoTau34er2p1,1,5192.9,380.762,0,1341.03,,,
273,L1_DoubleIsoTau36er2p1,1,4522.85,355.349,0,1073.56,,,
274,L1_DoubleIsoTau28er2p1_Mass_Max90,0,0,0,0,0,,,
275,L1_DoubleIsoTau28er2p1_Mass_Max80,0,0,0,0,0,,,
276,L1_DoubleIsoTau30er2p1_Mass_Max90,0,0,0,0,0,,,
277,L1_DoubleIsoTau30er2p1_Mass_Max80,0,0,0,0,0,,,
279,L1_Mu18er2p1_Tau24er2p1,1,1312.19,191.402,139.594,416.641,,,
280,L1_Mu18er2p1_Tau26er2p1,1,697.971,139.594,0,131.869,,,
282,L1_Mu22er2p1_IsoTau28er2p1,0,0,0,0,0,,,
283,L1_Mu22er2p1_IsoTau30er2p1,0,0,0,0,0,,,
284,L1_Mu22er2p1_IsoTau32er2p1,1,279.188,88.2871,0,25.9735,,,
285,L1_Mu22er2p1_IsoTau34er2p1,1,223.351,78.9664,0,17.9598,,,
286,L1_Mu22er2p1_IsoTau36er2p1,1,223.351,78.9664,0,17.9598,,,
287,L1_Mu22er2p1_IsoTau40er2p1,1,167.513,68.3869,0,13.9909,,,
289,L1_Mu22er2p1_Tau70er2p1,1,55.8377,39.4832,0,2.59076,,,
291,L1_IsoTau40er2p1_ETMHF80,0,0,0,0,0,,,
292,L1_IsoTau40er2p1_ETMHF90,1,1395.94,197.416,251.269,329.699,,,
293,L1_IsoTau40er2p1_ETMHF100,1,921.321,160.381,0,52.5479,,,
294,L1_IsoTau40er2p1_ETMHF110,1,725.89,142.359,0,27.0373,,,
298,L1_QuadJet36er2p5_IsoTau52er2p1,190,0,0,0,0,,,
309,L1_SingleJet35,64000,27.9188,27.9188,27.9188,27.9188,,,
310,L1_SingleJet60,17000,0,0,0,0,,,
311,L1_SingleJet90,1500,0,0,0,0,,,
312,L1_SingleJet120,350,0,0,0,0,,,
313,L1_SingleJet180,1,1647.21,214.449,0,112.822,,,
314,L1_SingleJet200,1,1172.59,180.935,0,51.1483,,,
316,L1_SingleJet35er2p5,0,0,0,0,0,,,
317,L1_SingleJet60er2p5,0,0,0,0,0,,,
318,L1_SingleJet90er2p5,0,0,0,0,0,,,
319,L1_SingleJet120er2p5,0,0,0,0,0,,,
320,L1_SingleJet140er2p5,0,0,0,0,0,,,
321,L1_SingleJet160er2p5,0,0,0,0,0,,,
322,L1_SingleJet180er2p5,1,1451.78,201.326,0,85.341,,,
324,L1_SingleJet35_FWD3p0,103000,0,0,0,0,,,
325,L1_SingleJet60_FWD3p0,770,0,0,0,0,,,
326,L1_SingleJet90_FWD3p0,250,0,0,0,0,,,
327,L1_SingleJet120_FWD3p0,40,0,0,0,0,,,
329,L1_SingleJet8erHE,0,0,0,0,0,,,
330,L1_SingleJet10erHE,0,0,0,0,0,,,
331,L1_SingleJet12erHE,0,0,0,0,0,,,
332,L1_SingleJet140er2p5_ETMHF70,0,0,0,0,0,,,
333,L1_SingleJet140er2p5_ETMHF80,0,0,0,0,0,,,
334,L1_SingleJet140er2p5_ETMHF90,0,0,0,0,0,,,
340,L1_DoubleJet40er2p5,8400,0,0,0,0,,,
341,L1_DoubleJet100er2p5,170,0,0,0,0,,,
342,L1_DoubleJet120er2p5,70,0,0,0,0,,,
343,L1_DoubleJet150er2p5,1,753.808,145.071,0,46.563,,,
345,L1_DoubleJet100er2p3_dEta_Max1p6,0,0,0,0,0,,,
346,L1_DoubleJet112er2p3_dEta_Max1p6,1,1172.59,180.935,223.351,315.611,,,
348,L1_DoubleJet30er2p5_Mass_Min150_dEta_Max1p5,0,0,0,0,0,,,
349,L1_DoubleJet30er2p5_Mass_Min200_dEta_Max1p5,0,0,0,0,0,,,
350,L1_DoubleJet30er2p5_Mass_Min250_dEta_Max1p5,0,0,0,0,0,,,
351,L1_DoubleJet30er2p5_Mass_Min300_dEta_Max1p5,1,893.403,157.933,0,87.6024,,,
352,L1_DoubleJet30er2p5_Mass_Min330_dEta_Max1p5,1,697.971,139.594,0,41.1873,,,
353,L1_DoubleJet30er2p5_Mass_Min360_dEta_Max1p5,1,530.458,121.695,0,26.3023,,,
355,L1_DoubleJet_90_30_DoubleJet30_Mass_Min620,0,0,0,0,0,,,
356,L1_DoubleJet_100_30_DoubleJet30_Mass_Min620,0,0,0,0,0,,,
357,L1_DoubleJet_110_35_DoubleJet35_Mass_Min620,1,1228.43,185.193,111.675,248.809,,,
358,L1_DoubleJet_115_40_DoubleJet40_Mass_Min620,1,1088.83,174.353,0,130.154,,,
359,L1_DoubleJet_120_45_DoubleJet45_Mass_Min620,1,949.24,162.793,0,100.839,,,
360,L1_DoubleJet_115_40_DoubleJet40_Mass_Min620_Jet60TT28,1,1088.83,174.353,0,130.154,,,
361,L1_DoubleJet_120_45_DoubleJet45_Mass_Min620_Jet60TT28,1,949.24,162.793,0,100.839,,,
363,L1_DoubleJet35_Mass_Min450_IsoTau45_RmOvlp,0,0,0,0,0,,,
364,L1_DoubleJet_80_30_Mass_Min420_IsoTau40_RmOvlp,0,0,0,0,0,,,
365,L1_DoubleJet_80_30_Mass_Min420_Mu8,0,0,0,0,0,,,
366,L1_DoubleJet_80_30_Mass_Min420_DoubleMu0_SQ,0,0,0,0,0,,,
372,L1_TripleJet_95_75_65_DoubleJet_75_65_er2p5,1,1228.43,185.193,83.7565,256.806,,,
373,L1_TripleJet_100_80_70_DoubleJet_80_70_er2p5,1,753.808,145.071,0,99.1382,,,
374,L1_TripleJet_105_85_75_DoubleJet_85_75_er2p5,1,558.377,124.857,0,61.2665,,,
376,L1_QuadJet_95_75_65_20_DoubleJet_75_65_er2p5_Jet20_FWD3p0,1,335.026,96.7137,0,74.7023,,,
382,L1_QuadJet60er2p5,0,0,0,0,0,,,
384,L1_HTT280er_QuadJet_70_55_40_35_er2p4,0,0,0,0,0,,,
385,L1_HTT320er_QuadJet_70_55_40_40_er2p4,1,446.701,111.675,0,46.1787,,,
386,L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3,1,390.864,104.463,0,44.4467,,,
387,L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3,1,335.026,96.7137,0,39.7935,,,
398,L1_HTT120er,11400,0,0,0,0,,,
399,L1_HTT160er,4100,0,0,0,0,,,
400,L1_HTT200er,1600,0,0,0,0,,,
401,L1_HTT255er,500,0,0,0,0,,,
402,L1_HTT280er,0,0,0,0,0,,,
403,L1_HTT320er,0,0,0,0,0,,,
404,L1_HTT360er,1,1312.19,191.402,0,58.2729,,,
405,L1_HTT400er,1,1116.75,176.574,0,39.2165,,,
406,L1_HTT450er,1,921.321,160.381,0,27.1873,,,
410,L1_ETT1200,0,0,0,0,0,,,
411,L1_ETT1600,0,0,0,0,0,,,
412,L1_ETT2000,1,474.62,115.112,0,10.0319,,,
416,L1_ETM120,0,0,0,0,0,,,
417,L1_ETM150,1,530.458,121.695,27.9188,41.4406,,,
421,L1_ETMHF100,1,1312.19,191.402,139.594,246.989,,,
422,L1_ETMHF110,1,949.24,162.793,0,67.9247,,,
423,L1_ETMHF120,1,753.808,145.071,0,35.6203,,,
424,L1_ETMHF130,1,697.971,139.594,0,23.776,,,
425,L1_ETMHF140,1,642.133,133.894,0,20.8501,,,
426,L1_ETMHF150,1,614.214,130.951,0,19.5206,,,
428,L1_ETMHF90_HTT60er,0,0,0,0,0,,,
429,L1_ETMHF100_HTT60er,1,1088.83,174.353,0,80.6392,,,
430,L1_ETMHF110_HTT60er,1,865.484,155.445,0,41.1691,,,
431,L1_ETMHF120_HTT60er,1,697.971,139.594,0,22.8242,,,
432,L1_ETMHF130_HTT60er,1,670.052,136.774,0,20.2861,,,
443,L1_ETMHF120_NotSecondBunchInTrain,0,0,0,0,0,,,
444,L1_ETMHF110_HTT60er_NotSecondBunchInTrain,0,0,0,0,0,,,
458,L1_AlwaysTrue,0,0,0,0,0,,,
459,L1_ZeroBias,17881,0,0,0,0,,,
460,L1_ZeroBias_copy,0,0,0,0,0,,,
461,L1_MinimumBiasHF0_AND_BptxAND,0,0,0,0,0,,,
463,L1_NotBptxOR,0,0,0,0,0,,,
464,L1_BptxOR,0,0,0,0,0,,,
465,L1_BptxXOR,0,0,0,0,0,,,
466,L1_BptxPlus,0,0,0,0,0,,,
467,L1_BptxMinus,0,0,0,0,0,,,
468,L1_UnpairedBunchBptxPlus,0,0,0,0,0,,,
469,L1_UnpairedBunchBptxMinus,0,0,0,0,0,,,
471,L1_IsolatedBunch,110,0,0,0,0,,,
472,L1_FirstBunchBeforeTrain,269167,0,0,0,0,,,
473,L1_FirstBunchInTrain,269167,0,0,0,0,,,
474,L1_SecondBunchInTrain,0,0,0,0,0,,,
475,L1_SecondLastBunchInTrain,0,0,0,0,0,,,
476,L1_LastBunchInTrain,0,0,0,0,0,,,
477,L1_FirstBunchAfterTrain,269167,0,0,0,0,,,
478,L1_LastCollisionInTrain,269167,0,0,0,0,,,
479,L1_FirstCollisionInTrain,269167,0,0,0,0,,,
480,L1_FirstCollisionInOrbit,1103,0,0,0,0,,,
482,L1_BPTX_NotOR_VME,0,0,0,0,0,,,
483,L1_BPTX_OR_Ref3_VME,0,0,0,0,0,,,
484,L1_BPTX_OR_Ref4_VME,0,0,0,0,0,,,
485,L1_BPTX_RefAND_VME,0,0,0,0,0,,,
486,L1_BPTX_AND_Ref1_VME,0,0,0,0,0,,,
487,L1_BPTX_AND_Ref3_VME,0,0,0,0,0,,,
488,L1_BPTX_AND_Ref4_VME,0,0,0,0,0,,,
489,L1_BPTX_BeamGas_Ref1_VME,0,0,0,0,0,,,
490,L1_BPTX_BeamGas_Ref2_VME,0,0,0,0,0,,,
491,L1_BPTX_BeamGas_B1_VME,0,0,0,0,0,,,
492,L1_BPTX_BeamGas_B2_VME,0,0,0,0,0,,,
494,L1_CDC_SingleMu_3_er1p2_TOP120_DPHI2p618_3p142,6,0,0,0,0,,,
500,L1_HCAL_LaserMon_Trig,0,0,0,0,0,,,
501,L1_HCAL_LaserMon_Veto,0,0,0,0,0,,,
503,L1_TOTEM_1,0,0,0,0,0,,,
504,L1_TOTEM_2,0,0,0,0,0,,,
505,L1_TOTEM_3,0,0,0,0,0,,,
506,L1_TOTEM_4,0,0,0,0,0,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
9999,Total rate,1,39.2818,1.04724,8.1523,39.2818,,,
