L1Bit,L1SeedName,pre-scale0,rate0,error_rate0,pure0,propotional0,Type,PAG,Comment
102,L1_Mu7_LooseIsoEG23er2p5,1,344.127,99.3409,0,38.1947,,,
104,L1_Mu6_DoubleEG10er2p5,0,0,0,0,0,,,
105,L1_Mu6_DoubleEG12er2p5,1,229.418,81.1115,86.0317,135.876,,,
106,L1_Mu6_DoubleEG15er2p5,1,114.709,57.3545,0,47.7954,,,
107,L1_Mu6_DoubleEG17er2p5,1,0,0,0,0,,,
109,L1_DoubleMu4_SQ_EG9er2p5,0,0,0,0,0,,,
110,L1_DoubleMu5_SQ_EG9er2p5,1,430.159,111.066,172.063,225.096,,,
112,L1_DoubleMu3_OS_DoubleEG7p5Upsilon,1,28.6772,28.6772,0,4.09675,,,
113,L1_DoubleMu5Upsilon_OS_DoubleEG3,1,200.741,75.8729,0,48.8849,,,
119,L1_Mu3_Jet30er2p5,11000,0,0,0,0,,,
121,L1_Mu3_Jet16er2p5_dR_Max0p4,400,114.709,57.3545,86.0317,93.201,,,
122,L1_Mu3_Jet35er2p5_dR_Max0p4,256,28.6772,28.6772,28.6772,28.6772,,,
123,L1_Mu3_Jet60er2p5_dR_Max0p4,52,28.6772,28.6772,28.6772,28.6772,,,
124,L1_Mu3_Jet80er2p5_dR_Max0p4,13,57.3545,40.5557,57.3545,57.3545,,,
125,L1_Mu3_Jet120er2p5_dR_Max0p8,3,57.3545,40.5557,0,5.7906,,,
126,L1_Mu3_Jet120er2p5_dR_Max0p4,3,57.3545,40.5557,28.6772,29.099,,,
128,L1_Mu3er1p5_Jet100er2p5_ETMHF40,1,630.899,134.508,86.0317,244.273,,,
129,L1_Mu3er1p5_Jet100er2p5_ETMHF50,1,458.836,114.709,0,146.24,,,
131,L1_Mu6_HTT240er,1,315.45,95.1117,0,28.5293,,,
132,L1_Mu6_HTT250er,1,286.772,90.6854,0,26.3233,,,
134,L1_Mu10er2p3_Jet32er2p3_dR_Max0p4_DoubleJet32er2p3_dEta_Max1p6,0,0,0,0,0,,,
135,L1_Mu12er2p3_Jet40er2p3_dR_Max0p4_DoubleJet40er2p3_dEta_Max1p6,1,573.545,128.249,0,141.729,,,
136,L1_Mu12er2p3_Jet40er2p1_dR_Max0p4_DoubleJet40er2p1_dEta_Max1p6,1,516.19,121.667,0,136.198,,,
142,L1_DoubleMu0_dR_Max1p6_Jet90er2p5_dR_Max0p8,1,28.6772,28.6772,0,1.43386,,,
143,L1_DoubleMu3_dR_Max1p6_Jet90er2p5_dR_Max0p8,1,28.6772,28.6772,0,1.43386,,,
145,L1_DoubleMu3_SQ_ETMHF50_HTT60er,0,0,0,0,0,,,
146,L1_DoubleMu3_SQ_ETMHF50_Jet60er2p5_OR_DoubleJet40er2p5,1,114.709,57.3545,0,23.4539,,,
147,L1_DoubleMu3_SQ_ETMHF50_Jet60er2p5,1,86.0317,49.6704,0,19.3571,,,
148,L1_DoubleMu3_SQ_ETMHF60_Jet60er2p5,1,28.6772,28.6772,0,3.58466,,,
150,L1_DoubleMu3_SQ_HTT220er,1,28.6772,28.6772,0,0.896164,,,
151,L1_DoubleMu3_SQ_HTT240er,1,28.6772,28.6772,0,0.896164,,,
152,L1_DoubleMu3_SQ_HTT260er,1,28.6772,28.6772,0,0.896164,,,
159,L1_SingleEG8er2p5,44000,28.6772,28.6772,28.6772,28.6772,,,
160,L1_SingleEG10er2p5,7600,172.063,70.2446,172.063,172.063,,,
161,L1_SingleEG15er2p5,1350,172.063,70.2446,172.063,172.063,,,
162,L1_SingleEG26er2p5,780,28.6772,28.6772,28.6772,28.6772,,,
163,L1_SingleEG28_FWD2p5,45,0,0,0,0,,,
164,L1_SingleEG28er2p5,0,0,0,0,0,,,
165,L1_SingleEG28er2p1,0,0,0,0,0,,,
166,L1_SingleEG28er1p5,0,0,0,0,0,,,
167,L1_SingleEG34er2p5,0,0,0,0,0,,,
168,L1_SingleEG36er2p5,1,8316.4,488.356,315.45,943.522,,,
169,L1_SingleEG38er2p5,1,6653.12,436.799,0,492.733,,,
170,L1_SingleEG40er2p5,1,5592.06,400.456,0,286.844,,,
171,L1_SingleEG42er2p5,1,4846.45,372.804,0,230.089,,,
172,L1_SingleEG45er2p5,1,3613.33,321.901,0,147.029,,,
173,L1_SingleEG50,0,0,0,0,0,,,
174,L1_SingleEG60,1,1978.73,238.211,0,64.3803,,,
175,L1_SingleLooseIsoEG26er2p5,0,0,0,0,0,,,
176,L1_SingleLooseIsoEG26er1p5,0,0,0,0,0,,,
177,L1_SingleLooseIsoEG28_FWD2p5,0,0,0,0,0,,,
178,L1_SingleLooseIsoEG28er2p5,1,16145.3,680.443,430.159,2726.16,,,
179,L1_SingleLooseIsoEG28er2p1,1,12445.9,597.423,0,1378.08,,,
180,L1_SingleLooseIsoEG28er1p5,0,0,0,0,0,,,
181,L1_SingleLooseIsoEG30er2p5,1,12732.7,604.267,0,1357.21,,,
182,L1_SingleLooseIsoEG30er1p5,0,0,0,0,0,,,
183,L1_SingleIsoEG24er2p1,0,0,0,0,0,,,
184,L1_SingleIsoEG24er1p5,0,0,0,0,0,,,
185,L1_SingleIsoEG26er2p5,0,0,0,0,0,,,
186,L1_SingleIsoEG26er2p1,0,0,0,0,0,,,
187,L1_SingleIsoEG26er1p5,0,0,0,0,0,,,
188,L1_SingleIsoEG28_FWD2p5,0,0,0,0,0,,,
189,L1_SingleIsoEG28er2p5,1,12818.7,606.305,0,1382.65,,,
190,L1_SingleIsoEG28er2p1,1,10180.4,540.321,0,770.96,,,
191,L1_SingleIsoEG28er1p5,1,7025.92,448.87,0,454.219,,,
192,L1_SingleIsoEG30er2p5,1,10725.3,554.592,0,757.338,,,
193,L1_SingleIsoEG30er2p1,1,8889.95,504.915,0,515.994,,,
194,L1_SingleIsoEG32er2p5,1,9320.1,516.986,0,553.864,,,
195,L1_SingleIsoEG32er2p1,1,7914.92,476.422,0,413.004,,,
196,L1_SingleIsoEG34er2p5,1,8173.01,484.128,0,460.869,,,
197,L1_IsoEG32er2p5_Mt40,1,7599.47,466.832,0,430.053,,,
198,L1_IsoEG32er2p5_Mt44,1,7341.37,458.836,0,409.366,,,
199,L1_IsoEG32er2p5_Mt48,1,7111.96,451.61,0,394.306,,,
205,L1_DoubleEG_15_10_er2p5,0,0,0,0,0,,,
206,L1_DoubleEG_20_10_er2p5,0,0,0,0,0,,,
207,L1_DoubleEG_22_10_er2p5,0,0,0,0,0,,,
208,L1_DoubleEG_25_12_er2p5,1,2638.31,275.062,286.772,653.559,,,
209,L1_DoubleEG_25_14_er2p5,1,1892.7,232.975,0,292.969,,,
210,L1_DoubleEG_27_14_er2p5,1,1519.89,208.773,0,191.487,,,
212,L1_DoubleEG_LooseIso20_10_er2p5,0,0,0,0,0,,,
213,L1_DoubleEG_LooseIso22_10_er2p5,0,0,0,0,0,,,
214,L1_DoubleEG_LooseIso22_12_er2p5,1,2437.57,264.391,544.868,770.146,,,
215,L1_DoubleEG_LooseIso25_12_er2p5,1,1806.67,227.619,0,194.211,,,
217,L1_DoubleLooseIsoEG22er2p1,1,229.418,81.1115,0,18.9078,,,
218,L1_DoubleLooseIsoEG24er2p1,1,172.063,70.2446,0,8.15387,,,
224,L1_TripleEG_16_12_8_er2p5,0,0,0,0,0,,,
225,L1_TripleEG_16_15_8_er2p5,0,0,0,0,0,,,
226,L1_TripleEG_18_17_8_er2p5,1,344.127,99.3409,86.0317,123.261,,,
227,L1_TripleEG_18_18_12_er2p5,1,86.0317,49.6704,0,15.7042,,,
228,L1_TripleEG16er2p5,1,28.6772,28.6772,0,0.409675,,,
234,L1_LooseIsoEG26er2p1_Jet34er2p5_dR_Min0p3,0,0,0,0,0,,,
235,L1_LooseIsoEG28er2p1_Jet34er2p5_dR_Min0p3,1,5506.03,397.364,0,416.281,,,
236,L1_LooseIsoEG30er2p1_Jet34er2p5_dR_Min0p3,1,4617.04,363.873,0,270.692,,,
238,L1_LooseIsoEG24er2p1_HTT100er,0,0,0,0,0,,,
239,L1_LooseIsoEG26er2p1_HTT100er,1,6280.32,424.384,372.804,737.656,,,
240,L1_LooseIsoEG28er2p1_HTT100er,1,5735.45,405.557,0,332.674,,,
241,L1_LooseIsoEG30er2p1_HTT100er,1,5161.9,384.746,0,252.041,,,
247,L1_DoubleEG8er2p5_HTT260er,0,0,0,0,0,,,
248,L1_DoubleEG8er2p5_HTT280er,0,0,0,0,0,,,
249,L1_DoubleEG8er2p5_HTT300er,1,516.19,121.667,28.6772,51.7353,,,
250,L1_DoubleEG8er2p5_HTT320er,1,458.836,114.709,0,15.8887,,,
251,L1_DoubleEG8er2p5_HTT340er,1,430.159,111.066,0,15.4027,,,
257,L1_LooseIsoEG22er2p1_IsoTau26er2p1_dR_Min0p3,1,2466.24,265.942,315.45,574.104,,,
258,L1_LooseIsoEG24er2p1_IsoTau27er2p1_dR_Min0p3,1,1978.73,238.211,0,220.624,,,
259,L1_LooseIsoEG22er2p1_Tau70er2p1_dR_Min0p3,1,401.481,107.3,0,10.2613,,,
264,L1_SingleTau120er2p1,1,1347.83,196.601,0,63.4994,,,
265,L1_SingleTau130er2p1,1,1175.77,183.624,0,41.9005,,,
267,L1_DoubleTau70er2p1,1,1003.7,169.657,0,101.506,,,
269,L1_DoubleIsoTau28er2p1,0,0,0,0,0,,,
270,L1_DoubleIsoTau30er2p1,0,0,0,0,0,,,
271,L1_DoubleIsoTau32er2p1,1,6509.73,432.066,716.931,2192.23,,,
272,L1_DoubleIsoTau34er2p1,1,5563.39,399.428,0,1440.56,,,
273,L1_DoubleIsoTau36er2p1,1,4703.07,367.248,0,1115.69,,,
274,L1_DoubleIsoTau28er2p1_Mass_Max90,0,0,0,0,0,,,
275,L1_DoubleIsoTau28er2p1_Mass_Max80,0,0,0,0,0,,,
276,L1_DoubleIsoTau30er2p1_Mass_Max90,0,0,0,0,0,,,
277,L1_DoubleIsoTau30er2p1_Mass_Max80,0,0,0,0,0,,,
279,L1_Mu18er2p1_Tau24er2p1,1,1261.8,190.223,114.709,380.348,,,
280,L1_Mu18er2p1_Tau26er2p1,1,716.931,143.386,0,135.636,,,
282,L1_Mu22er2p1_IsoTau28er2p1,0,0,0,0,0,,,
283,L1_Mu22er2p1_IsoTau30er2p1,0,0,0,0,0,,,
284,L1_Mu22er2p1_IsoTau32er2p1,1,286.772,90.6854,0,26.71,,,
285,L1_Mu22er2p1_IsoTau34er2p1,1,229.418,81.1115,0,18.4785,,,
286,L1_Mu22er2p1_IsoTau36er2p1,1,229.418,81.1115,0,18.4785,,,
287,L1_Mu22er2p1_IsoTau40er2p1,1,172.063,70.2446,0,14.4019,,,
289,L1_Mu22er2p1_Tau70er2p1,1,57.3545,40.5557,0,2.692,,,
291,L1_IsoTau40er2p1_ETMHF80,0,0,0,0,0,,,
292,L1_IsoTau40er2p1_ETMHF90,1,1491.22,206.795,229.418,308.869,,,
293,L1_IsoTau40er2p1_ETMHF100,1,1061.06,174.437,0,65.0545,,,
294,L1_IsoTau40er2p1_ETMHF110,1,860.317,157.072,0,38.0685,,,
298,L1_QuadJet36er2p5_IsoTau52er2p1,190,0,0,0,0,,,
309,L1_SingleJet35,64000,28.6772,28.6772,28.6772,28.6772,,,
310,L1_SingleJet60,17000,0,0,0,0,,,
311,L1_SingleJet90,1500,0,0,0,0,,,
312,L1_SingleJet120,350,0,0,0,0,,,
313,L1_SingleJet180,1,1691.96,220.274,0,109.126,,,
314,L1_SingleJet200,1,1233.12,188.049,0,53.8746,,,
316,L1_SingleJet35er2p5,0,0,0,0,0,,,
317,L1_SingleJet60er2p5,0,0,0,0,0,,,
318,L1_SingleJet90er2p5,0,0,0,0,0,,,
319,L1_SingleJet120er2p5,0,0,0,0,0,,,
320,L1_SingleJet140er2p5,0,0,0,0,0,,,
321,L1_SingleJet160er2p5,0,0,0,0,0,,,
322,L1_SingleJet180er2p5,1,1519.89,208.773,0,90.4573,,,
324,L1_SingleJet35_FWD3p0,103000,0,0,0,0,,,
325,L1_SingleJet60_FWD3p0,770,0,0,0,0,,,
326,L1_SingleJet90_FWD3p0,250,0,0,0,0,,,
327,L1_SingleJet120_FWD3p0,40,0,0,0,0,,,
329,L1_SingleJet8erHE,0,0,0,0,0,,,
330,L1_SingleJet10erHE,0,0,0,0,0,,,
331,L1_SingleJet12erHE,0,0,0,0,0,,,
332,L1_SingleJet140er2p5_ETMHF70,0,0,0,0,0,,,
333,L1_SingleJet140er2p5_ETMHF80,0,0,0,0,0,,,
334,L1_SingleJet140er2p5_ETMHF90,0,0,0,0,0,,,
340,L1_DoubleJet40er2p5,8400,0,0,0,0,,,
341,L1_DoubleJet100er2p5,170,0,0,0,0,,,
342,L1_DoubleJet120er2p5,70,0,0,0,0,,,
343,L1_DoubleJet150er2p5,1,688.254,140.489,0,37.0675,,,
345,L1_DoubleJet100er2p3_dEta_Max1p6,0,0,0,0,0,,,
346,L1_DoubleJet112er2p3_dEta_Max1p6,1,1261.8,190.223,258.095,355.695,,,
348,L1_DoubleJet30er2p5_Mass_Min150_dEta_Max1p5,0,0,0,0,0,,,
349,L1_DoubleJet30er2p5_Mass_Min200_dEta_Max1p5,0,0,0,0,0,,,
350,L1_DoubleJet30er2p5_Mass_Min250_dEta_Max1p5,0,0,0,0,0,,,
351,L1_DoubleJet30er2p5_Mass_Min300_dEta_Max1p5,1,860.317,157.072,0,76.6485,,,
352,L1_DoubleJet30er2p5_Mass_Min330_dEta_Max1p5,1,688.254,140.489,0,41.3994,,,
353,L1_DoubleJet30er2p5_Mass_Min360_dEta_Max1p5,1,487.513,118.239,0,23.4903,,,
355,L1_DoubleJet_90_30_DoubleJet30_Mass_Min620,0,0,0,0,0,,,
356,L1_DoubleJet_100_30_DoubleJet30_Mass_Min620,0,0,0,0,0,,,
357,L1_DoubleJet_110_35_DoubleJet35_Mass_Min620,1,1204.44,185.85,86.0317,225.846,,,
358,L1_DoubleJet_115_40_DoubleJet40_Mass_Min620,1,1061.06,174.437,0,125.476,,,
359,L1_DoubleJet_120_45_DoubleJet45_Mass_Min620,1,946.349,164.738,0,106.358,,,
360,L1_DoubleJet_115_40_DoubleJet40_Mass_Min620_Jet60TT28,1,1061.06,174.437,0,125.476,,,
361,L1_DoubleJet_120_45_DoubleJet45_Mass_Min620_Jet60TT28,1,946.349,164.738,0,106.358,,,
363,L1_DoubleJet35_Mass_Min450_IsoTau45_RmOvlp,0,0,0,0,0,,,
364,L1_DoubleJet_80_30_Mass_Min420_IsoTau40_RmOvlp,0,0,0,0,0,,,
365,L1_DoubleJet_80_30_Mass_Min420_Mu8,0,0,0,0,0,,,
366,L1_DoubleJet_80_30_Mass_Min420_DoubleMu0_SQ,0,0,0,0,0,,,
372,L1_TripleJet_95_75_65_DoubleJet_75_65_er2p5,1,1261.8,190.223,57.3545,243.034,,,
373,L1_TripleJet_100_80_70_DoubleJet_80_70_er2p5,1,716.931,143.386,0,90.4299,,,
374,L1_TripleJet_105_85_75_DoubleJet_85_75_er2p5,1,516.19,121.667,0,52.7212,,,
376,L1_QuadJet_95_75_65_20_DoubleJet_75_65_er2p5_Jet20_FWD3p0,1,315.45,95.1117,0,67.4878,,,
382,L1_QuadJet60er2p5,0,0,0,0,0,,,
384,L1_HTT280er_QuadJet_70_55_40_35_er2p4,0,0,0,0,0,,,
385,L1_HTT320er_QuadJet_70_55_40_40_er2p4,1,430.159,111.066,0,47.2789,,,
386,L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3,1,401.481,107.3,0,46.6688,,,
387,L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3,1,344.127,99.3409,0,41.8892,,,
398,L1_HTT120er,11400,0,0,0,0,,,
399,L1_HTT160er,4100,0,0,0,0,,,
400,L1_HTT200er,1600,0,0,0,0,,,
401,L1_HTT255er,500,0,0,0,0,,,
402,L1_HTT280er,0,0,0,0,0,,,
403,L1_HTT320er,0,0,0,0,0,,,
404,L1_HTT360er,1,1433.86,202.779,0,66.2745,,,
405,L1_HTT400er,1,1175.77,183.624,0,42.33,,,
406,L1_HTT450er,1,975.026,167.216,0,28.812,,,
410,L1_ETT1200,0,0,0,0,0,,,
411,L1_ETT1600,0,0,0,0,0,,,
412,L1_ETT2000,1,544.868,125.001,0,11.5884,,,
416,L1_ETM120,0,0,0,0,0,,,
417,L1_ETM150,1,659.577,137.531,28.6772,47.0097,,,
421,L1_ETMHF100,1,1347.83,196.601,57.3545,166.648,,,
422,L1_ETMHF110,1,1061.06,174.437,0,67.9687,,,
423,L1_ETMHF120,1,831.64,154.432,0,39.1656,,,
424,L1_ETMHF130,1,774.286,149.011,0,26.4202,,,
425,L1_ETMHF140,1,774.286,149.011,0,26.4202,,,
426,L1_ETMHF150,1,716.931,143.386,0,22.6849,,,
428,L1_ETMHF90_HTT60er,0,0,0,0,0,,,
429,L1_ETMHF100_HTT60er,1,1233.12,188.049,0,96.1496,,,
430,L1_ETMHF110_HTT60er,1,1003.7,169.657,0,54.825,,,
431,L1_ETMHF120_HTT60er,1,774.286,149.011,0,26.0219,,,
432,L1_ETMHF130_HTT60er,1,745.608,146.226,0,22.8356,,,
443,L1_ETMHF120_NotSecondBunchInTrain,0,0,0,0,0,,,
444,L1_ETMHF110_HTT60er_NotSecondBunchInTrain,0,0,0,0,0,,,
458,L1_AlwaysTrue,0,0,0,0,0,,,
459,L1_ZeroBias,17881,0,0,0,0,,,
460,L1_ZeroBias_copy,0,0,0,0,0,,,
461,L1_MinimumBiasHF0_AND_BptxAND,0,0,0,0,0,,,
463,L1_NotBptxOR,0,0,0,0,0,,,
464,L1_BptxOR,0,0,0,0,0,,,
465,L1_BptxXOR,0,0,0,0,0,,,
466,L1_BptxPlus,0,0,0,0,0,,,
467,L1_BptxMinus,0,0,0,0,0,,,
468,L1_UnpairedBunchBptxPlus,0,0,0,0,0,,,
469,L1_UnpairedBunchBptxMinus,0,0,0,0,0,,,
471,L1_IsolatedBunch,110,0,0,0,0,,,
472,L1_FirstBunchBeforeTrain,269167,0,0,0,0,,,
473,L1_FirstBunchInTrain,269167,0,0,0,0,,,
474,L1_SecondBunchInTrain,0,0,0,0,0,,,
475,L1_SecondLastBunchInTrain,0,0,0,0,0,,,
476,L1_LastBunchInTrain,0,0,0,0,0,,,
477,L1_FirstBunchAfterTrain,269167,0,0,0,0,,,
478,L1_LastCollisionInTrain,269167,0,0,0,0,,,
479,L1_FirstCollisionInTrain,269167,0,0,0,0,,,
480,L1_FirstCollisionInOrbit,1103,0,0,0,0,,,
482,L1_BPTX_NotOR_VME,0,0,0,0,0,,,
483,L1_BPTX_OR_Ref3_VME,0,0,0,0,0,,,
484,L1_BPTX_OR_Ref4_VME,0,0,0,0,0,,,
485,L1_BPTX_RefAND_VME,0,0,0,0,0,,,
486,L1_BPTX_AND_Ref1_VME,0,0,0,0,0,,,
487,L1_BPTX_AND_Ref3_VME,0,0,0,0,0,,,
488,L1_BPTX_AND_Ref4_VME,0,0,0,0,0,,,
489,L1_BPTX_BeamGas_Ref1_VME,0,0,0,0,0,,,
490,L1_BPTX_BeamGas_Ref2_VME,0,0,0,0,0,,,
491,L1_BPTX_BeamGas_B1_VME,0,0,0,0,0,,,
492,L1_BPTX_BeamGas_B2_VME,0,0,0,0,0,,,
494,L1_CDC_SingleMu_3_er1p2_TOP120_DPHI2p618_3p142,6,0,0,0,0,,,
500,L1_HCAL_LaserMon_Trig,0,0,0,0,0,,,
501,L1_HCAL_LaserMon_Veto,0,0,0,0,0,,,
503,L1_TOTEM_1,0,0,0,0,0,,,
504,L1_TOTEM_2,0,0,0,0,0,,,
505,L1_TOTEM_3,0,0,0,0,0,,,
506,L1_TOTEM_4,0,0,0,0,0,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
9999,Total rate,1,40.4349,1.07683,8.08698,40.4349,,,
